route_I;route_name;route_type
1;370;3
2;292;3
3;292;3
5;185;3
6;185;3
7;TIM;3
8;TIM;3
9;T2;0
10;T2;0
14;584;3
15;323;3
16;303;3
18;334;3
19;183;3
20;355;3
21;355;3
22;355;3
23;583;3
25;114;3
26;262;3
28;184;3
29;162;3
30;162;3
32;47;3
33;47;3
34;566;3
35;11;1
36;11;1
37;13;1
38;13;1
39;13;1
40;13;1
41;3;1
42;3;1
43;5;1
44;5;1
45;7;1
46;7;1
47;7;1
48;7;1
49;8;1
50;8;1
51;291;3
53;291;3
54;388;3
55;388;3
56;276;3
57;276;3
58;T8;0
59;T8;0
60;T8;0
61;T8;0
62;234;3
63;234;3
65;337;3
66;595;3
67;595;3
68;321;3
69;184;3
70;68;3
71;538;3
72;538;3
75;39;3
77;194;3
79;292;3
80;T1;0
81;T1;0
82;38;3
83;28;3
84;28;3
85;38;3
87;216;3
88;206;3
89;207;3
90;207;3
91;304;3
92;190;3
93;190;3
94;467;3
96;111;3
97;524;3
98;571;3
99;571;3
100;571;3
101;571;3
102;121;3
103;133;3
104;249;3
105;182;3
106;286;3
107;CHOISYBUS;3
108;14;1
109;14;1
110;70;3
111;255;3
112;255;3
113;268;3
114;268;3
115;268;3
116;52;3
117;286;3
118;146;3
119;146;3
120;146;3
123;T7;0
124;T7;0
125;574;3
126;9;1
127;9;1
128;519;3
129;T3b;0
130;T3b;0
131;318;3
132;318;3
133;B;2
134;B;2
135;B;2
136;B;2
137;B;2
138;B;2
139;B;2
140;B;2
141;179;3
142;179;3
143;144;3
144;299;3
145;T6;0
146;T6;0
147;24;3
148;24;3
149;241;3
150;133;3
151;24;3
152;197;3
153;197;3
155;12;1
156;12;1
157;6;1
158;6;1
159;92;3
160;180;3
161;180;3
163;275;3
164;A;2
165;A;2
166;A;2
167;A;2
168;A;2
169;A;2
170;A;2
171;A;2
173;385;3
174;129;3
175;129;3
178;285;3
179;526;3
180;EOLIEN;3
181;EOLIEN;3
182;520;3
184;351;3
185;351;3
