agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
feed_0_100,RATP (100),http://www.ratp.fr/,CET,,
feed_1_DUA853,Paris Nord,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA855,La Verrière - La Défense,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA854,Paris St Lazare,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA852,Paris Rive Gauche,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA803,RER C,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA804,RER D,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA805,RER E,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA850,Paris Est,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA802,RER B,http://www.transilien.com,Europe/Paris,fr,
feed_1_DUA801,RER A,http://www.transilien.com,Europe/Paris,fr,
