service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
feed_0_1132941_temporally_filtered_0,0,0,0,0,0,0,0,20161212,20161216
feed_0_1132942_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161218
feed_0_12025098_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025099_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025104_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025107_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025112_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025115_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025119_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025122_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025125_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025127_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025128_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025130_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025131_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025134_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025138_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025142_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025147_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025149_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025152_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025154_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025242_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025251_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025255_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025257_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025261_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025263_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025264_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025266_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025267_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025270_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025277_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025338_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025358_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025372_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025391_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025543_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025547_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025550_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025554_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025587_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025592_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025595_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12025596_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12025600_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12025602_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12025605_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
