route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_id
feed_0_1013825,370,(VILLIERS LE BEL ARNOUVILLE RER <-> VILLIERS LE BEL ARNOUVILLE RER.) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1025209,292,(PORTE DE L'ESSONNE <-> (ATHIS-MONS - PORTE DE L'ESSONNE)) - Retour,,3,,FFFFFF,000000,feed_0_100
feed_0_1025210,292,(PORTE DE L'ESSONNE <-> (SAVIGNY - ZAC LES GATINES)) - Retour,,3,,FFFFFF,000000,feed_0_100
feed_0_1025256,192,((ROBINSON RER - MIN RUNGIS) <-> LE COR DE CHASSE - LA BELLE EPINE) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1025341,185,(PORTE D'ITALIE - HELENE BOUCHER <-> (PORTE D'ITALIE - CHOISY SUD)) - Retour,,3,,FFFFFF,000000,feed_0_100
feed_0_1025342,185,((PORTE D'ITALIE - CHOISY SUD) <-> CHOISY SUD) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1030435,TIM,(SERVICE URBAIN <-> GARE DE BELLEVUE) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1030436,TIM,(SERVICE URBAIN <-> GARE DE BELLEVUE) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1030441,T2,(PONT DE BEZONS <-> PORTE DE VERSAILLES) - Aller,,0,,FFFFFF,000000,feed_0_100
feed_0_1030442,T2,(PONT DE BEZONS <-> PORTE DE VERSAILLES) - Retour,,0,,FFFFFF,000000,feed_0_100
feed_0_1034046,TILLBUS,(PLACE DU VEL'D'HIV' <-> PLACE DU VEL'D'HIV') - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1034052,524,(LES PARAPLUIES-VAL DE FONTENAY <-> VAL DE FONTENAY-RER) - Retour,,3,,FFFFFF,000000,feed_0_100
feed_0_1034512,250,(FORT D'AUBERVILLIERS-METRO <-> HOPITAL DE GONESSE DIM-JF) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1040914,584,V5 (SERVICE URBAIN DE GENTILLY <-> GABRIEL PERI - SOLEIL LEVANT) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1052005,323,(ISSY-VAL DE SEINE RER <-> GAMBETTA) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1067111,303,(PLACE DE LA RESITANCE <-> BOBIGNY - PABLO PICASSO) - Retour,,3,,FFFFFF,000000,feed_0_100
feed_0_1073414,334,(ROBERT SCHUMAN <-> ROBERT SCHUMAN.) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1082420,183,(PORTE DE CHOISY <-> ROUGET DE LISLE) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1086437,355,((JJ ROUSSEAU CIRCULAIRE) <-> LYCEE JEAN-JACQUES ROUSSEAU.) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1086484,355,((CIRCULAIRE) <-> LYCEE JEAN-JACQUES ROUSSEAU.) - Aller,,3,,FFFFFF,000000,feed_0_100
feed_0_1086485,355,((LYCEE JJ ROUSSEAU CIRCULAIRE) <-> LYCEE JEAN-JACQUES ROUSSEAU.) - Aller,,3,,FFFFFF,000000,feed_0_100
