transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,268.0,feed_0_1166824,feed_0_3765261
2,243.0,feed_0_1166824,feed_0_3765262
2,205.0,feed_0_1166824,feed_0_3765302
2,213.0,feed_0_1166824,feed_0_3765303
2,268.0,,feed_0_3765261
2,243.0,,feed_0_3765262
2,205.0,,feed_0_3765302
2,213.0,,feed_0_3765303
2,248.0,feed_0_1166826,feed_0_3765264
2,217.0,feed_0_1166826,feed_0_3765300
2,279.0,feed_0_1166826,feed_0_3887747
2,252.0,feed_0_1166826,feed_0_4798880
2,248.0,,feed_0_3765264
2,217.0,,feed_0_3765300
2,279.0,,feed_0_3887747
2,252.0,,feed_0_4798880
2,384.0,feed_0_1166828,feed_0_3765266
2,406.0,feed_0_1166828,feed_0_3765298
2,384.0,,feed_0_3765266
2,406.0,,feed_0_3765298
2,900.0,feed_0_1166830,feed_0_1956
2,900.0,feed_0_1166830,
2,216.0,feed_0_1166830,feed_0_3813089
2,196.0,feed_0_1166830,
2,196.0,feed_0_1166830,
2,216.0,feed_0_1166830,
2,900.0,,feed_0_1956
2,900.0,,
2,216.0,,feed_0_3813089
2,196.0,,
2,196.0,,
2,216.0,,
2,420.0,feed_0_1166832,feed_0_1955
2,180.0,feed_0_1166832,feed_0_1956
2,240.0,feed_0_1166832,
2,180.0,feed_0_1166832,
2,198.0,feed_0_1166832,feed_0_3673587
2,263.0,feed_0_1166832,feed_0_3673588
2,189.0,feed_0_1166832,feed_0_3747837
2,198.0,feed_0_1166832,
2,263.0,feed_0_1166832,
2,259.0,feed_0_1166832,feed_0_3813082
2,198.0,feed_0_1166832,
2,190.0,feed_0_1166832,feed_0_3813084
2,197.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,263.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,213.0,feed_0_1166832,
2,207.0,feed_0_1166832,feed_0_4035988
2,197.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,263.0,feed_0_1166832,
2,195.0,feed_0_1166832,
2,263.0,feed_0_1166832,
2,197.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,198.0,feed_0_1166832,
2,198.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,263.0,feed_0_1166832,
2,189.0,feed_0_1166832,
2,420.0,,feed_0_1955
2,180.0,,feed_0_1956
2,240.0,,
2,180.0,,
2,198.0,,feed_0_3673587
2,263.0,,feed_0_3673588
2,189.0,,feed_0_3747837
2,198.0,,
2,263.0,,
2,259.0,,feed_0_3813082
2,198.0,,
2,190.0,,feed_0_3813084
2,197.0,,
2,189.0,,
2,263.0,,
2,189.0,,
2,213.0,,
2,207.0,,feed_0_4035988
2,197.0,,
2,189.0,,
2,263.0,,
2,195.0,,
2,263.0,,
2,197.0,,
2,189.0,,
2,198.0,,
2,198.0,,
2,189.0,,
2,263.0,,
2,189.0,,
2,420.0,feed_0_1166834,feed_0_1965
2,480.0,feed_0_1166834,feed_0_1967
